soil_moisture,soil_temperature,air_temperature,air_humidity,wind_speed,wind_direction,irrigation_class,irrigation_label
31.3,22.4,22.1,42.6,8.2,258.8,2,MEDIUM IRRIGATION
45.2,23.4,25.5,61.6,9.5,109.6,1,LOW IRRIGATION
45.2,23.7,26.5,64.7,4.5,12.7,1,LOW IRRIGATION
30.1,35.4,34.0,15.4,7.9,228.4,2,MEDIUM IRRIGATION
67.3,21.5,23.6,89.9,5.7,107.2,0,NO IRRIGATION
70.7,23.7,25.3,81.5,6.1,327.5,0,NO IRRIGATION
81.3,23.8,25.0,84.7,6.2,332.5,0,NO IRRIGATION
37.5,35.2,35.1,20.7,8.2,331.8,2,MEDIUM IRRIGATION
42.7,27.7,31.2,49.0,11.8,90.8,1,LOW IRRIGATION
55.5,25.2,27.5,46.1,10.0,107.1,0,NO IRRIGATION
30.2,24.4,26.4,60.3,11.6,139.3,2,MEDIUM IRRIGATION
11.7,39.5,39.5,23.5,15.9,116.5,3,HIGH IRRIGATION
82.1,24.5,27.1,89.7,3.7,174.1,0,NO IRRIGATION
71.1,20.4,21.9,89.9,2.8,294.9,0,NO IRRIGATION
78.0,21.4,24.7,84.6,14.6,344.1,0,NO IRRIGATION
13.3,33.8,37.0,21.7,6.9,25.5,3,HIGH IRRIGATION
41.3,15.5,16.1,72.3,0.5,120.5,1,LOW IRRIGATION
44.6,19.7,20.2,59.4,9.2,2.9,1,LOW IRRIGATION
65.7,21.0,22.2,81.5,5.9,200.0,0,NO IRRIGATION
74.5,20.0,20.2,72.3,0.5,240.9,0,NO IRRIGATION
51.2,39.3,40.2,25.5,4.0,127.7,1,LOW IRRIGATION
19.1,28.0,30.3,39.1,3.6,286.9,3,HIGH IRRIGATION
58.4,19.9,21.8,85.1,12.0,312.0,0,NO IRRIGATION
13.5,36.7,38.2,21.4,31.7,193.4,3,HIGH IRRIGATION
42.0,24.2,29.1,36.3,21.0,151.8,1,LOW IRRIGATION
65.2,18.6,17.3,65.3,2.2,66.1,0,NO IRRIGATION
50.7,15.3,15.9,79.3,1.1,87.8,0,NO IRRIGATION
40.7,25.7,26.1,61.0,2.5,8.1,1,LOW IRRIGATION
44.4,31.0,34.2,33.9,5.3,30.3,1,LOW IRRIGATION
30.0,40.7,39.7,23.7,16.7,267.8,3,HIGH IRRIGATION
29.5,24.3,25.0,56.1,5.4,291.0,2,MEDIUM IRRIGATION
74.6,21.3,24.0,83.3,7.9,27.8,0,NO IRRIGATION
34.8,36.2,38.4,19.1,8.4,119.4,2,MEDIUM IRRIGATION
49.7,27.5,30.5,38.6,13.5,326.1,1,LOW IRRIGATION
53.4,22.0,25.0,50.5,10.0,218.0,1,LOW IRRIGATION
58.1,18.2,20.5,94.8,15.0,217.1,0,NO IRRIGATION
66.7,22.6,25.2,49.2,3.3,131.6,0,NO IRRIGATION
69.5,24.0,26.0,92.0,10.7,145.7,0,NO IRRIGATION
67.7,17.0,17.9,78.1,2.0,28.7,0,NO IRRIGATION
53.5,21.9,22.9,60.5,4.1,258.0,0,NO IRRIGATION
43.1,23.8,25.5,59.3,1.7,241.4,1,LOW IRRIGATION
48.0,22.1,24.9,58.5,5.3,308.9,1,LOW IRRIGATION
42.5,30.0,31.5,52.7,19.3,329.1,1,LOW IRRIGATION
17.0,32.9,34.0,17.4,6.0,54.5,3,HIGH IRRIGATION
28.8,28.9,28.2,36.5,11.4,311.5,2,MEDIUM IRRIGATION
60.9,19.0,19.4,77.3,1.4,255.2,0,NO IRRIGATION
65.4,26.0,26.5,49.8,1.8,66.7,0,NO IRRIGATION
36.5,26.9,29.9,22.1,6.4,237.0,2,MEDIUM IRRIGATION
75.8,14.4,15.2,79.6,11.0,31.5,0,NO IRRIGATION
75.7,23.3,25.3,89.5,1.0,62.6,0,NO IRRIGATION
21.0,37.6,36.3,20.0,15.1,201.8,3,HIGH IRRIGATION
32.9,31.1,34.1,47.6,2.7,220.9,2,MEDIUM IRRIGATION
68.8,14.5,17.5,80.1,3.6,319.4,0,NO IRRIGATION
50.2,29.3,30.1,35.8,8.2,236.0,1,LOW IRRIGATION
14.3,40.3,38.6,15.9,36.2,281.1,3,HIGH IRRIGATION
33.6,31.6,35.4,41.9,15.9,208.3,2,MEDIUM IRRIGATION
59.2,28.0,29.5,89.8,4.8,312.3,0,NO IRRIGATION
66.8,19.6,18.8,73.8,8.2,201.5,0,NO IRRIGATION
50.0,37.2,37.3,29.6,15.6,99.9,1,LOW IRRIGATION
65.1,25.0,26.0,79.1,15.1,325.9,0,NO IRRIGATION
65.7,18.6,18.4,82.7,0.5,356.1,0,NO IRRIGATION
60.6,15.9,15.9,76.4,2.1,68.6,0,NO IRRIGATION
26.2,27.0,26.0,28.7,3.7,243.8,2,MEDIUM IRRIGATION
26.8,30.7,33.0,29.9,9.5,123.1,3,HIGH IRRIGATION
62.9,27.5,31.3,53.4,4.8,359.5,0,NO IRRIGATION
75.5,18.4,19.6,88.6,5.0,210.3,0,NO IRRIGATION
50.8,14.8,13.1,81.7,6.7,139.0,0,NO IRRIGATION
27.3,26.2,27.6,46.8,8.6,254.9,2,MEDIUM IRRIGATION
73.8,20.9,22.1,82.5,9.8,107.4,0,NO IRRIGATION
77.8,16.2,15.1,70.6,2.2,111.2,0,NO IRRIGATION
62.8,19.1,22.0,80.0,6.2,70.3,0,NO IRRIGATION
56.7,16.5,20.1,72.7,7.9,109.5,0,NO IRRIGATION
18.8,32.8,35.8,40.6,7.5,227.4,3,HIGH IRRIGATION
47.2,18.2,18.8,67.1,11.3,299.2,1,LOW IRRIGATION
31.8,19.7,22.5,61.5,1.4,95.9,1,LOW IRRIGATION
13.9,32.2,36.0,39.7,24.7,102.5,3,HIGH IRRIGATION
55.1,20.3,22.5,51.2,1.8,234.7,0,NO IRRIGATION
67.7,22.9,23.4,80.5,10.6,254.1,0,NO IRRIGATION
47.1,26.1,27.8,20.7,10.1,53.2,1,LOW IRRIGATION
22.3,32.6,36.2,26.6,14.8,183.7,3,HIGH IRRIGATION
28.4,38.1,38.7,44.8,18.8,105.3,3,HIGH IRRIGATION
29.8,39.2,39.8,8.0,13.1,98.8,2,MEDIUM IRRIGATION
29.0,44.2,43.2,30.9,20.4,337.9,3,HIGH IRRIGATION
74.4,15.0,16.2,79.8,9.4,143.9,0,NO IRRIGATION
48.1,25.9,26.0,23.9,4.4,85.2,1,LOW IRRIGATION
35.6,39.1,40.0,48.8,14.1,272.6,2,MEDIUM IRRIGATION
14.4,40.1,37.1,28.8,10.7,126.6,3,HIGH IRRIGATION
84.3,20.2,24.5,88.7,2.6,116.0,0,NO IRRIGATION
58.7,14.0,15.0,76.7,1.3,329.7,0,NO IRRIGATION
27.5,31.3,34.8,28.4,4.5,152.6,2,MEDIUM IRRIGATION
41.0,23.3,26.0,39.0,2.0,29.6,1,LOW IRRIGATION
40.5,28.5,30.9,45.1,6.2,186.0,2,MEDIUM IRRIGATION
37.4,46.0,45.5,20.5,9.2,80.7,2,MEDIUM IRRIGATION
30.4,25.4,25.6,59.5,12.3,345.0,2,MEDIUM IRRIGATION
59.7,17.6,19.4,75.8,3.6,182.8,0,NO IRRIGATION
75.9,20.6,23.3,82.7,12.3,197.1,0,NO IRRIGATION
47.2,26.6,28.6,54.9,2.6,200.2,1,LOW IRRIGATION
54.1,16.8,17.8,80.7,5.1,128.6,0,NO IRRIGATION
57.6,25.7,28.7,56.1,9.3,4.7,0,NO IRRIGATION
67.9,16.1,16.0,79.4,3.8,171.1,0,NO IRRIGATION
73.5,22.5,26.1,85.6,13.0,164.9,0,NO IRRIGATION
20.4,33.6,37.9,42.9,17.7,212.0,3,HIGH IRRIGATION
62.6,21.5,23.6,79.8,4.2,311.4,0,NO IRRIGATION
51.2,36.8,37.8,35.0,2.0,158.4,1,LOW IRRIGATION
28.5,27.8,26.0,26.1,26.7,87.4,3,HIGH IRRIGATION
88.9,20.2,22.6,83.5,4.3,259.1,0,NO IRRIGATION
46.5,22.2,24.9,65.1,14.0,332.2,1,LOW IRRIGATION
29.2,25.6,26.1,55.4,7.8,4.8,2,MEDIUM IRRIGATION
66.6,27.0,28.1,55.5,4.0,305.0,0,NO IRRIGATION
59.8,24.4,26.1,82.9,2.0,91.3,0,NO IRRIGATION
51.5,26.3,26.4,56.3,11.4,297.9,1,LOW IRRIGATION
43.9,32.5,35.8,35.6,13.7,82.8,2,MEDIUM IRRIGATION
54.7,23.7,26.8,41.1,1.1,187.9,0,NO IRRIGATION
38.5,28.2,29.4,30.6,6.7,11.0,1,LOW IRRIGATION
34.2,25.1,27.4,56.4,5.3,256.2,2,MEDIUM IRRIGATION
58.1,15.1,15.7,81.1,3.8,129.7,0,NO IRRIGATION
38.3,41.8,40.4,29.5,20.7,39.6,2,MEDIUM IRRIGATION
15.9,29.6,30.4,13.8,24.2,315.4,3,HIGH IRRIGATION
55.5,22.8,23.0,50.9,10.2,26.2,1,LOW IRRIGATION
25.6,35.6,34.0,17.4,20.8,151.4,3,HIGH IRRIGATION
23.2,29.4,30.2,30.0,9.4,34.9,3,HIGH IRRIGATION
59.0,17.1,18.9,74.7,10.8,236.1,0,NO IRRIGATION
51.5,27.2,30.6,30.2,11.2,246.6,1,LOW IRRIGATION
73.2,23.4,25.8,84.7,13.5,79.8,0,NO IRRIGATION
15.1,31.2,33.1,30.2,7.5,240.3,3,HIGH IRRIGATION
48.5,22.0,25.8,47.4,7.5,205.1,1,LOW IRRIGATION
63.1,23.2,26.0,76.7,7.0,244.6,0,NO IRRIGATION
85.1,25.7,27.9,84.9,2.1,161.6,0,NO IRRIGATION
12.2,36.4,35.9,15.3,19.0,294.3,3,HIGH IRRIGATION
48.6,12.0,13.1,72.6,2.8,247.3,0,NO IRRIGATION
73.6,22.9,23.4,87.4,3.4,258.0,0,NO IRRIGATION
41.2,17.6,19.5,83.7,1.1,286.2,0,NO IRRIGATION
64.4,14.8,16.0,73.9,3.6,112.7,0,NO IRRIGATION
66.7,23.4,24.1,88.9,11.0,192.3,0,NO IRRIGATION
50.6,26.3,25.5,46.3,12.9,327.2,1,LOW IRRIGATION
68.5,16.7,21.0,79.7,15.6,143.5,0,NO IRRIGATION
48.3,21.2,21.3,88.4,2.9,351.6,0,NO IRRIGATION
88.1,19.4,23.9,80.0,4.9,138.2,0,NO IRRIGATION
13.3,35.4,34.8,34.7,9.5,28.6,3,HIGH IRRIGATION
38.8,43.2,42.7,21.3,6.3,20.6,2,MEDIUM IRRIGATION
49.1,28.9,28.8,60.1,6.2,164.6,1,LOW IRRIGATION
71.4,22.1,24.4,80.5,11.0,164.8,0,NO IRRIGATION
64.9,18.1,20.5,88.7,11.9,65.9,0,NO IRRIGATION
38.4,23.4,25.0,50.6,9.6,226.9,1,LOW IRRIGATION
51.6,20.2,21.0,88.9,2.9,205.6,0,NO IRRIGATION
18.7,28.7,30.1,42.5,6.6,27.9,3,HIGH IRRIGATION
23.7,28.6,31.3,36.6,22.9,64.3,3,HIGH IRRIGATION
38.2,22.0,22.6,82.6,2.3,244.8,1,LOW IRRIGATION
53.6,16.2,16.7,72.5,9.0,268.5,0,NO IRRIGATION
32.4,27.3,29.4,46.2,8.3,232.9,2,MEDIUM IRRIGATION
53.1,17.3,16.2,87.4,0.6,220.6,0,NO IRRIGATION
21.0,27.1,30.1,15.4,9.8,33.6,3,HIGH IRRIGATION
34.4,22.7,27.1,42.6,1.9,292.3,2,MEDIUM IRRIGATION
47.2,18.9,18.0,73.6,7.4,280.2,0,NO IRRIGATION
8.1,36.3,36.6,29.7,25.1,273.2,3,HIGH IRRIGATION
84.0,22.5,25.7,76.8,11.3,12.8,0,NO IRRIGATION
44.7,27.3,28.9,48.8,1.2,60.2,1,LOW IRRIGATION
46.5,26.5,30.9,35.7,2.7,19.3,1,LOW IRRIGATION
48.4,24.5,27.1,59.7,1.8,303.5,1,LOW IRRIGATION
31.7,25.9,27.6,35.1,4.0,106.7,2,MEDIUM IRRIGATION
42.6,30.8,32.7,44.3,2.0,317.5,1,LOW IRRIGATION
37.0,19.7,19.5,85.6,1.8,275.3,1,LOW IRRIGATION
66.6,23.2,25.0,47.2,3.9,239.8,0,NO IRRIGATION
29.4,25.2,28.7,41.6,7.5,152.8,2,MEDIUM IRRIGATION
45.4,23.1,26.1,52.7,6.4,196.0,0,NO IRRIGATION
67.3,23.5,25.2,84.8,4.2,254.0,0,NO IRRIGATION
42.4,26.4,27.6,33.1,27.1,128.1,2,MEDIUM IRRIGATION
13.5,40.1,42.6,19.5,18.5,82.7,3,HIGH IRRIGATION
56.7,16.8,17.9,65.4,2.9,344.4,0,NO IRRIGATION
51.9,21.9,22.4,43.9,4.0,159.0,1,LOW IRRIGATION
84.8,22.1,25.3,87.5,3.7,202.6,0,NO IRRIGATION
50.9,25.3,28.4,52.1,4.2,55.2,0,NO IRRIGATION
13.8,41.7,40.7,16.5,11.8,301.7,3,HIGH IRRIGATION
44.2,22.2,24.2,48.9,4.3,304.6,1,LOW IRRIGATION
36.7,27.5,28.9,55.6,5.2,199.7,1,LOW IRRIGATION
58.6,24.8,25.5,62.2,9.6,20.8,0,NO IRRIGATION
63.7,19.7,21.7,77.8,10.8,241.0,0,NO IRRIGATION
20.0,37.2,38.0,13.1,11.4,132.9,3,HIGH IRRIGATION
12.5,33.9,37.9,32.8,6.7,119.2,3,HIGH IRRIGATION
38.3,25.2,26.0,35.3,9.4,173.0,2,MEDIUM IRRIGATION
38.2,18.1,20.2,77.2,2.8,320.6,1,LOW IRRIGATION
73.3,22.5,24.3,86.3,12.2,340.1,0,NO IRRIGATION
42.0,24.1,26.0,44.8,3.9,106.8,1,LOW IRRIGATION
30.3,27.3,27.3,38.0,2.8,58.0,2,MEDIUM IRRIGATION
43.2,28.6,30.7,18.0,16.4,353.0,2,MEDIUM IRRIGATION
45.2,23.2,27.1,56.4,2.8,306.8,1,LOW IRRIGATION
11.3,38.2,39.5,22.0,8.8,348.7,3,HIGH IRRIGATION
21.6,34.6,34.8,15.8,9.0,11.3,3,HIGH IRRIGATION
11.7,38.0,37.8,17.9,6.0,276.4,3,HIGH IRRIGATION
12.7,31.1,33.8,24.4,5.9,317.5,3,HIGH IRRIGATION
59.8,12.3,13.4,80.7,5.0,17.2,0,NO IRRIGATION
70.5,22.4,24.9,91.7,6.1,172.7,0,NO IRRIGATION
16.2,33.2,32.9,33.5,13.9,359.0,3,HIGH IRRIGATION
63.9,25.7,26.9,90.2,3.0,153.0,0,NO IRRIGATION
49.5,18.0,18.0,70.1,4.6,13.5,1,LOW IRRIGATION
79.0,19.7,20.6,86.6,5.0,223.7,0,NO IRRIGATION
47.5,35.9,36.3,39.7,9.8,356.5,1,LOW IRRIGATION
10.0,36.5,37.0,19.2,18.3,91.0,3,HIGH IRRIGATION
8.9,43.2,42.7,27.5,11.3,302.2,3,HIGH IRRIGATION
15.7,38.3,40.7,20.3,14.9,98.5,3,HIGH IRRIGATION
63.0,18.9,21.5,70.1,3.2,148.0,0,NO IRRIGATION
36.8,21.9,22.6,42.4,11.6,62.2,1,LOW IRRIGATION
46.1,27.7,31.0,19.8,14.1,341.6,1,LOW IRRIGATION
29.4,26.4,28.5,62.0,14.9,127.3,2,MEDIUM IRRIGATION
32.3,20.2,23.3,59.6,5.6,216.0,1,LOW IRRIGATION
47.1,19.5,22.0,81.8,4.3,225.8,0,NO IRRIGATION
58.9,22.2,23.8,91.7,7.1,193.5,0,NO IRRIGATION
68.3,21.2,22.6,87.8,2.7,97.6,0,NO IRRIGATION
26.3,32.1,33.9,35.4,6.1,22.4,3,HIGH IRRIGATION
86.3,21.8,23.8,90.6,10.4,63.3,0,NO IRRIGATION
60.7,14.5,14.3,67.6,15.0,75.5,0,NO IRRIGATION
89.2,20.8,23.2,85.4,2.4,168.6,0,NO IRRIGATION
53.1,14.2,13.2,86.3,1.7,77.3,0,NO IRRIGATION
36.1,34.6,37.4,40.1,25.6,288.3,2,MEDIUM IRRIGATION
68.4,16.2,19.0,80.2,7.6,291.3,0,NO IRRIGATION
87.0,25.5,28.0,84.1,2.4,216.2,0,NO IRRIGATION
35.4,29.8,32.7,28.9,12.3,288.8,2,MEDIUM IRRIGATION
43.5,16.9,18.0,76.7,3.6,168.9,0,NO IRRIGATION
49.2,25.0,25.2,45.5,11.0,99.4,1,LOW IRRIGATION
21.2,33.4,36.9,41.6,9.5,285.2,3,HIGH IRRIGATION
61.2,22.0,23.4,79.7,3.4,142.9,0,NO IRRIGATION
87.9,24.9,27.3,83.4,2.3,305.0,0,NO IRRIGATION
40.8,19.2,20.7,82.9,2.5,0.9,1,LOW IRRIGATION
49.7,29.8,31.8,28.6,4.5,279.3,1,LOW IRRIGATION
47.1,13.2,12.8,64.7,6.9,169.9,1,LOW IRRIGATION
33.5,36.5,34.0,14.9,16.0,38.2,2,MEDIUM IRRIGATION
70.7,22.9,26.5,89.4,11.7,25.3,0,NO IRRIGATION
25.5,40.3,39.4,22.5,6.5,249.2,3,HIGH IRRIGATION
48.4,19.8,19.5,80.7,1.9,118.8,0,NO IRRIGATION
31.4,32.4,30.5,25.4,9.8,233.6,2,MEDIUM IRRIGATION
61.8,17.9,19.2,72.2,4.0,313.8,0,NO IRRIGATION
43.8,27.1,29.7,51.3,7.7,29.8,1,LOW IRRIGATION
42.6,18.5,19.3,79.7,0.5,329.3,1,LOW IRRIGATION
74.4,22.8,24.4,85.4,6.2,357.7,0,NO IRRIGATION
41.7,12.8,12.9,80.2,2.5,44.1,1,LOW IRRIGATION
73.1,28.0,31.0,91.7,6.7,277.5,0,NO IRRIGATION
67.5,22.2,24.4,56.8,10.7,264.3,0,NO IRRIGATION
45.3,19.0,20.3,75.6,7.2,352.9,1,LOW IRRIGATION
30.8,39.0,39.9,8.3,23.0,279.0,2,MEDIUM IRRIGATION
59.5,15.6,16.7,77.6,3.0,16.7,0,NO IRRIGATION
44.1,12.0,11.0,82.6,7.5,93.2,1,LOW IRRIGATION
53.2,25.7,28.0,55.5,5.5,42.7,1,LOW IRRIGATION
63.6,22.2,25.1,76.3,14.2,139.4,0,NO IRRIGATION
74.2,22.4,24.2,78.2,10.9,203.3,0,NO IRRIGATION
43.5,22.9,24.4,47.2,12.8,294.4,1,LOW IRRIGATION
13.4,31.2,32.3,33.7,7.1,52.8,3,HIGH IRRIGATION
28.1,23.9,27.3,41.2,6.1,348.1,2,MEDIUM IRRIGATION
38.5,29.4,28.7,35.4,2.0,260.0,2,MEDIUM IRRIGATION
38.2,28.1,31.1,39.1,5.7,208.2,2,MEDIUM IRRIGATION
39.0,44.0,44.1,13.9,13.3,238.0,2,MEDIUM IRRIGATION
32.5,26.3,27.7,63.1,22.0,162.9,2,MEDIUM IRRIGATION
29.4,23.3,22.7,52.8,8.7,8.2,2,MEDIUM IRRIGATION
62.4,18.1,20.8,92.0,10.9,78.8,0,NO IRRIGATION
65.3,17.6,20.3,70.5,1.5,39.1,0,NO IRRIGATION
61.5,25.9,29.1,45.1,22.0,291.7,0,NO IRRIGATION
49.0,21.2,22.8,73.0,1.9,192.8,1,LOW IRRIGATION
73.0,20.7,24.8,86.0,10.0,102.7,0,NO IRRIGATION
55.7,24.8,25.4,45.4,9.3,222.5,0,NO IRRIGATION
84.2,24.2,29.8,80.6,4.6,202.0,0,NO IRRIGATION
59.4,21.7,25.6,85.9,4.7,210.1,0,NO IRRIGATION
14.7,33.1,33.9,35.6,2.7,263.0,3,HIGH IRRIGATION
57.7,22.1,22.8,47.5,4.7,64.0,0,NO IRRIGATION
75.8,15.6,18.4,87.6,1.2,283.0,0,NO IRRIGATION
63.7,15.4,17.1,74.7,5.1,225.0,0,NO IRRIGATION
41.2,15.7,16.5,73.0,1.9,44.0,1,LOW IRRIGATION
58.2,23.0,25.7,86.7,20.9,143.3,0,NO IRRIGATION
42.8,20.7,21.8,47.7,16.3,305.5,1,LOW IRRIGATION
42.0,30.7,37.2,24.7,3.1,19.1,1,LOW IRRIGATION
13.7,33.5,33.4,28.0,7.5,214.9,3,HIGH IRRIGATION
16.7,43.6,40.4,27.1,8.1,200.1,3,HIGH IRRIGATION
46.1,22.1,24.5,58.3,4.8,105.6,1,LOW IRRIGATION
37.6,16.4,17.2,69.2,5.5,30.3,1,LOW IRRIGATION
47.5,23.9,25.7,51.9,7.9,233.9,1,LOW IRRIGATION
32.7,39.5,40.9,23.2,13.0,106.7,2,MEDIUM IRRIGATION
47.2,38.9,40.4,41.7,7.8,149.2,2,MEDIUM IRRIGATION
62.2,21.5,23.5,56.4,5.9,120.9,0,NO IRRIGATION
64.4,18.1,18.3,84.0,1.4,252.8,0,NO IRRIGATION
48.6,24.2,26.8,69.6,2.6,73.2,0,NO IRRIGATION
67.0,21.5,24.5,73.0,3.0,276.3,0,NO IRRIGATION
77.7,12.0,13.3,75.2,2.6,276.1,0,NO IRRIGATION
82.8,22.0,25.9,89.1,6.2,50.3,0,NO IRRIGATION
81.2,22.9,26.0,93.7,11.0,343.6,0,NO IRRIGATION
31.0,37.1,38.7,18.9,14.9,204.4,2,MEDIUM IRRIGATION
67.9,24.2,26.1,53.3,3.1,57.8,0,NO IRRIGATION
22.4,27.1,30.8,27.1,8.2,223.6,3,HIGH IRRIGATION
42.9,25.8,29.1,61.9,8.0,80.7,1,LOW IRRIGATION
88.3,21.9,26.3,77.6,2.6,295.9,0,NO IRRIGATION
45.6,19.4,23.9,49.8,6.5,105.3,1,LOW IRRIGATION
